State,Year,Value
Tripura,2007-08,1041
Uttarakhand,2007-08,2720
NCT Delhi,2007-08,8389
Puducherry,2007-08,387
Andhra Pradesh,2008-09(RE),22609
Bihar,2008-09(RE),12626
Chhattisgarh,2008-09(RE),4505
Goa,2008-09(RE),1158
Gujarat,2008-09(RE),13385
Haryana,2008-09(RE),5111
Jharkhand,2008-09(RE),5162
Karnataka,2008-09(RE),12127
Kerala,2008-09(RE),4198
Madhya Pradesh,2008-09(RE),10460
Maharashtra,2008-09(RE),23951
Orissa,2008-09(RE),5326
Punjab,2008-09(RE),6081
Rajasthan,2008-09(RE),8793
Tamil Nadu,2008-09(RE),12894
Uttar Pradesh,2008-09(RE),28144
West Bengal,2008-09(RE),10153
Arunachal Pradesh,2008-09(RE),1962
Assam,2008-09(RE),4968
Himachal Pradesh,2008-09(RE),3211
Jammu and Kashmir,2008-09(RE),6303
Manipur,2008-09(RE),1922
Meghalaya,2008-09(RE),793
Mizoram,2008-09(RE),736
Nagaland,2008-09(RE),1313
Sikkim,2008-09(RE),1014
Tripura,2008-09(RE),1666
Uttarakhand,2008-09(RE),2687
NCT Delhi,2008-09(RE),8715
Puducherry,2008-09(RE),529
Andhra Pradesh,2009-10(BE),24433
Bihar,2009-10(BE),11731
Chhattisgarh,2009-10(BE),4729
Goa,2009-10(BE),1234
Gujarat,2009-10(BE),11688
Haryana,2009-10(BE),6624
Jharkhand,2009-10(BE),4779
Karnataka,2009-10(BE),13826
Kerala,2009-10(BE),4869
Madhya Pradesh,2009-10(BE),10473
Maharashtra,2009-10(BE),23578
Orissa,2009-10(BE),3878
Punjab,2009-10(BE),5378
Rajasthan,2009-10(BE),10061
Tamil Nadu,2009-10(BE),14333
Uttar Pradesh,2009-10(BE),28730
West Bengal,2009-10(BE),10670
Arunachal Pradesh,2009-10(BE),964
Assam,2009-10(BE),5666
Himachal Pradesh,2009-10(BE),2854
Jammu and Kashmir,2009-10(BE),7652
Manipur,2009-10(BE),1473
Meghalaya,2009-10(BE),994
Mizoram,2009-10(BE),656
Nagaland,2009-10(BE),1607
Sikkim,2009-10(BE),966
Tripura,2009-10(BE),1817
Uttarakhand,2009-10(BE),2876
NCT Delhi,2009-10(BE),9340
Puducherry,2009-10(BE),914
