State,Year,Value
Puducherry,2005-06,797
Andhra Pradesh,2006-07,18654
Bihar,2006-07,11127
Chhattisgarh,2006-07,5707
Goa,2006-07,1010
Gujarat,2006-07,13104
Haryana,2006-07,5605
Jharkhand,2006-07,7392
Karnataka,2006-07,14407
Kerala,2006-07,7189
Madhya Pradesh,2006-07,10658
Maharashtra,2006-07,28276
Orissa,2006-07,6127
Punjab,2006-07,4706
Rajasthan,2006-07,12580
Tamil Nadu,2006-07,16921
Uttar Pradesh,2006-07,24032
West Bengal,2006-07,13142
Arunachal Pradesh,2006-07,843
Assam,2006-07,5220
Himachal Pradesh,2006-07,3334
Jammu and Kashmir,2006-07,4348
Manipur,2006-07,1041
Meghalaya,2006-07,873
Mizoram,2006-07,798
Nagaland,2006-07,914
Sikkim,2006-07,547
Tripura,2006-07,1206
Uttarakhand,2006-07,3226
NCT Delhi,2006-07,5139
Puducherry,2006-07,800
Andhra Pradesh,2007-08,24471
Bihar,2007-08,13815
Chhattisgarh,2007-08,6947
Goa,2007-08,1124
Gujarat,2007-08,14893
Haryana,2007-08,7343
Jharkhand,2007-08,7984
Karnataka,2007-08,17644
Kerala,2007-08,9010
Madhya Pradesh,2007-08,12600
Maharashtra,2007-08,29721
Orissa,2007-08,8196
Punjab,2007-08,4991
Rajasthan,2007-08,14683
Tamil Nadu,2007-08,19994
Uttar Pradesh,2007-08,30006
West Bengal,2007-08,16192
Arunachal Pradesh,2007-08,953
Assam,2007-08,6056
Himachal Pradesh,2007-08,3736
Jammu and Kashmir,2007-08,5108
Manipur,2007-08,1179
Meghalaya,2007-08,1039
Mizoram,2007-08,940
Nagaland,2007-08,1053
Sikkim,2007-08,663
Tripura,2007-08,1399
Uttarakhand,2007-08,3726
NCT Delhi,2007-08,7353
Puducherry,2007-08,927
Andhra Pradesh,2008-09(RE),36786
Bihar,2008-09(RE),20505
Chhattisgarh,2008-09(RE),10587
Goa,2008-09(RE),1614
Gujarat,2008-09(RE),18527
Haryana,2008-09(RE),9826
Jharkhand,2008-09(RE),9870
Karnataka,2008-09(RE),20707
Kerala,2008-09(RE),11313
Madhya Pradesh,2008-09(RE),16489
Maharashtra,2008-09(RE),38515
Orissa,2008-09(RE),13010
Punjab,2008-09(RE),8735
Rajasthan,2008-09(RE),19313
Tamil Nadu,2008-09(RE),27381
Uttar Pradesh,2008-09(RE),41784
West Bengal,2008-09(RE),20968
Arunachal Pradesh,2008-09(RE),1338
Assam,2008-09(RE),9910
Himachal Pradesh,2008-09(RE),4849
Jammu and Kashmir,2008-09(RE),5609
Manipur,2008-09(RE),1517
Meghalaya,2008-09(RE),1483
Mizoram,2008-09(RE),1351
Nagaland,2008-09(RE),1304
Sikkim,2008-09(RE),938
Tripura,2008-09(RE),1940
Uttarakhand,2008-09(RE),3679
NCT Delhi,2008-09(RE),9471
Puducherry,2008-09(RE),1362
Andhra Pradesh,2009-10(BE),35668
Bihar,2009-10(BE),21136
Chhattisgarh,2009-10(BE),12255
Goa,2009-10(BE),1784
Gujarat,2009-10(BE),21316
Haryana,2009-10(BE),12154
Jharkhand,2009-10(BE),10322
Karnataka,2009-10(BE),24526
Kerala,2009-10(BE),12734
Madhya Pradesh,2009-10(BE),18735
Maharashtra,2009-10(BE),59821
Orissa,2009-10(BE),14037
Punjab,2009-10(BE),9051
Rajasthan,2009-10(BE),22735
Tamil Nadu,2009-10(BE),28052
Uttar Pradesh,2009-10(BE),45473
West Bengal,2009-10(BE),28472
Arunachal Pradesh,2009-10(BE),1107
Assam,2009-10(BE),11428
Himachal Pradesh,2009-10(BE),4571
Jammu and Kashmir,2009-10(BE),6631
Manipur,2009-10(BE),1205
Meghalaya,2009-10(BE),1801
Mizoram,2009-10(BE),1336
Nagaland,2009-10(BE),1306
Sikkim,2009-10(BE),1067
Tripura,2009-10(BE),2133
Uttarakhand,2009-10(BE),5542
NCT Delhi,2009-10(BE),10290
Puducherry,2009-10(BE),1724
